ID,Address,City,State,Country,Lat,Long
100257,1804 S Lamar Blvd, Austin, TX 78704, USA,30.2507128,-97.76768949999999
100258,1402 Hether St, Austin, TX 78704, USA,30.2498456,-97.76758339999999
100259,1406 Hether St, Austin, TX 78704, USA,30.2501043,-97.7677532
100260,1500 Hether St, Austin, TX 78704, USA,30.2501521,-97.7678912
100261,1502 Hether St, Austin, TX 78704, USA,30.2500685,-97.7681671
100262,1504 Hether St, Austin, TX 78704, USA,30.2503005,-97.7682202
100263,1506 Hether St, Austin, TX 78704, USA,30.2502089,-97.7684431
100264,1508 Hether St, Austin, TX 78704, USA,30.2502804,-97.76855979999999
100265,1510 Hether St, Austin, TX 78704, USA,30.2503624,-97.7686872
100267,1514 Hether St, Austin, TX 78704, USA,30.250537,-97.76895250000001
100268,1516 Hether St, Austin, TX 78704, USA,30.2506532,-97.7690693
100269,1904 S Lamar Blvd, Austin, TX 78704, USA,30.2497712,-97.7673287
100270,1816 S Lamar Blvd, Austin, TX 78704, USA,30.249968,-97.7670315
100271,1708 S Lamar Blvd, Austin, TX 78704, USA,30.250642,-97.76698599999999
100272,1801 Kinney Ave, Austin, TX 78704, USA,30.251514,-97.7677744
100273,1700 S Lamar Blvd, Austin, TX 78704, USA,30.2512416,-97.76624199999999
100276,1905 Kinney Ave, Austin, TX 78704, USA,30.2509396,-97.76877209999999
100277,1903 Kinney Ave, Austin, TX 78704, USA,30.2510343,-97.7686872
100278,1901 Kinney Ave, Austin, TX 78704, USA,30.25112889999999,-97.7686023
100279,2019 S Lamar Blvd, Austin, TX 78704, USA,30.2483634,-97.7680292
100280,2005 S Lamar Blvd, Austin, TX 78704, USA,30.2487454,-97.7680079
100281,2003 S Lamar Blvd, Austin, TX 78704, USA,30.2484732,-97.76768949999999
100282,1217 W Mary St, Austin, TX 78704, USA,30.2491899,-97.7664372
100283,1215 W Mary St, Austin, TX 78704, USA,30.24909629999999,-97.76624609999999
100287,2021 S Lamar Blvd, Austin, TX 78704, USA,30.248046,-97.768627
100288,2027 S Lamar Blvd, Austin, TX 78704, USA,30.2482149,-97.76864479999999
100289,2001 S Lamar Blvd, Austin, TX 78704, USA,30.2485728,-97.7675197
100290,1341 W Mary St, Austin, TX 78704, USA,30.2486262,-97.7670491
100291,1903 S Lamar Blvd, Austin, TX 78704, USA,30.249146,-97.767748
100295,1707 S Lamar Blvd, Austin, TX 78704, USA,30.250265,-97.76580039999999
100296,1705 S Lamar Blvd, Austin, TX 78704, USA,30.2503621,-97.76567299999999
100298,1701 S Lamar Blvd, Austin, TX 78704, USA,30.2505141,-97.7653759
100299,1702 Evergreen Ave, Austin, TX 78704, USA,30.2504651,-97.7652591
100300,1706 Evergreen Ave, Austin, TX 78704, USA,30.2501888,-97.76538649999999
100301,1708 Evergreen Ave, Austin, TX 78704, USA,30.2501432,-97.7655881
100302,1710 Evergreen Ave, Austin, TX 78704, USA,30.2498333,-97.765693
100303,1800 Evergreen Ave, Austin, TX 78704, USA,30.249757,-97.76592
100304,1623 S Lamar Blvd, Austin, TX 78704, USA,30.25060879999999,-97.76529099999999
100305,1621 S Lamar Blvd, Austin, TX 78704, USA,30.2507482,-97.76520599999999
100306,1615 S Lamar Blvd, Austin, TX 78704, USA,30.2508453,-97.76507869999999
100307,1901 S Lamar Blvd, Austin, TX 78704, USA,30.2494428,-97.7669099
100308,1817 S Lamar Blvd, Austin, TX 78704, USA,30.2496026,-97.76639469999999
100309,1607 S Lamar Blvd, Austin, TX 78704, USA,30.2512424,-97.7648028
100314,1508 S Lamar Blvd, Austin, TX 78704, USA,30.2521763,-97.7650143
100315,1516 S Lamar Blvd, Austin, TX 78704, USA,30.2517659,-97.76504299999999
100316,1602 S Lamar Blvd, Austin, TX 78704, USA,30.2515071,-97.7652485
100317,1605 Kinney Ave, Austin, TX 78704, USA,30.2530334,-97.767456
100321,1430 Collier St, Austin, TX 78704, USA,30.252737,-97.7660339
100323,1603 Kinney Ave, Austin, TX 78704, USA,30.2531008,-97.767074
100327,2015 Bluebonnet Ln, Austin, TX 78704, USA,30.251354,-97.773623
100328,1911 Hether St, Austin, TX 78704, USA,30.25236679999999,-97.7733998
100329,1909 Hether St, Austin, TX 78704, USA,30.2522874,-97.77323
100330,1905 Hether St, Austin, TX 78704, USA,30.2521203,-97.7728372
100331,1903 Hether St, Austin, TX 78704, USA,30.25206069999999,-97.7727099
100332,1901 Hether St, Austin, TX 78704, USA,30.2519221,-97.7725931
100333,1811 Hether St, Austin, TX 78704, USA,30.2518519,-97.7724551
100334,1809 Hether St, Austin, TX 78704, USA,30.2518053,-97.7722959
100335,1807 Hether St, Austin, TX 78704, USA,30.2517681,-97.77216849999999
100336,2000 Goodrich Ave, Austin, TX 78704, USA,30.2516024,-97.77175460000001
100337,2004 Goodrich Ave, Austin, TX 78704, USA,30.25151899999999,-97.77193
100339,2012 Goodrich Ave, Austin, TX 78704, USA,30.2507777,-97.77225349999999
100342,2020 Goodrich Ave, Austin, TX 78704, USA,30.2503675,-97.77256129999999
100343,2022 Goodrich Ave, Austin, TX 78704, USA,30.2502598,-97.772678
100344,2007 Bluebonnet Ln, Austin, TX 78704, USA,30.2519984,-97.7735696
100347,2011 Bluebonnet Ln, Austin, TX 78704, USA,30.2518615,-97.7736121
100349,2024 Goodrich Ave, Austin, TX 78704, USA,30.2502954,-97.7732087
100353,1809 Ford St, Austin, TX 78704, USA,30.2529976,-97.77182889999999
100354,1900 Goodrich Ave, Austin, TX 78704, USA,30.2527924,-97.7709479
100355,1806 Hether St, Austin, TX 78704, USA,30.2522186,-97.7721261
100356,1810 Hether St, Austin, TX 78704, USA,30.2522887,-97.7722641
100357,1900 Hether St, Austin, TX 78704, USA,30.2523378,-97.7723808
100358,1902 Hether St, Austin, TX 78704, USA,30.2523831,-97.77256129999999
100359,1906 Hether St, Austin, TX 78704, USA,30.2524968,-97.77272049999999
100360,1908 Hether St, Austin, TX 78704, USA,30.252534,-97.7728478
100361,1910 Hether St, Austin, TX 78704, USA,30.2526135,-97.7730177
100362,1912 Hether St, Austin, TX 78704, USA,30.2526955,-97.773145
100363,1903 Bluebonnet Ln, Austin, TX 78704, USA,30.252876,-97.77295799999999
100365,1807 Bluebonnet Ln, Austin, TX 78704, USA,30.253159,-97.772724
100366,1805 Bluebonnet Ln, Austin, TX 78704, USA,30.2533478,-97.77272049999999
100367,1803 Bluebonnet Ln, Austin, TX 78704, USA,30.2534872,-97.7726356
100368,1801 Bluebonnet Ln, Austin, TX 78704, USA,30.2535818,-97.77255070000001
100369,1905 Ford St, Austin, TX 78704, USA,30.2533755,-97.77225349999999
100370,1903 Ford St, Austin, TX 78704, USA,30.25312,-97.772249
100372,1908 Goodrich Ave, Austin, TX 78704, USA,30.2522614,-97.7714043
100373,1910 Goodrich Ave, Austin, TX 78704, USA,30.25216,-97.7714149
100374,1912 Goodrich Ave, Austin, TX 78704, USA,30.25201929999999,-97.7715211
100375,1914 Goodrich Ave, Austin, TX 78704, USA,30.2519353,-97.7716166
100376,1802 Hether St, Austin, TX 78704, USA,30.25219389999999,-97.7717864
100377,1804 Hether St, Austin, TX 78704, USA,30.2521838,-97.7719563
100379,1901 Ford St, Austin, TX 78704, USA,30.2529377,-97.7720836
100381,1904 Goodrich Ave, Austin, TX 78704, USA,30.2525664,-97.7711708
100382,1904 Goodrich Ave, Austin, TX 78704, USA,30.2525664,-97.7711708
100383,1904 Goodrich Ave, Austin, TX 78704, USA,30.2525664,-97.7711708
100384,1904 Goodrich Ave, Austin, TX 78704, USA,30.2525664,-97.7711708
100385,1904 Goodrich Ave, Austin, TX 78704, USA,30.2525664,-97.7711708
100386,1904 Goodrich Ave, Austin, TX 78704, USA,30.2525664,-97.7711708
100387,1904 Goodrich Ave, Austin, TX 78704, USA,30.2525664,-97.7711708
100388,1904 Goodrich Ave, Austin, TX 78704, USA,30.2525664,-97.7711708
100389,1904 Goodrich Ave, Austin, TX 78704, USA,30.2525664,-97.7711708
100390,1904 Goodrich Ave, Austin, TX 78704, USA,30.2525664,-97.7711708
100391,1904 Goodrich Ave, Austin, TX 78704, USA,30.2525664,-97.7711708
100392,1904 Goodrich Ave, Austin, TX 78704, USA,30.2525664,-97.7711708
100393,1904 Goodrich Ave, Austin, TX 78704, USA,30.2525664,-97.7711708
100394,1904 Goodrich Ave, Austin, TX 78704, USA,30.2525664,-97.7711708
100395,1904 Goodrich Ave, Austin, TX 78704, USA,30.2525664,-97.7711708
100396,1904 Goodrich Ave, Austin, TX 78704, USA,30.2525664,-97.7711708
100397,1904 Goodrich Ave, Austin, TX 78704, USA,30.2525664,-97.7711708
100398,1904 Goodrich Ave, Austin, TX 78704, USA,30.2525664,-97.7711708
100399,1904 Goodrich Ave, Austin, TX 78704, USA,30.2525664,-97.7711708
100400,1904 Goodrich Ave, Austin, TX 78704, USA,30.2525664,-97.7711708
100401,1904 Goodrich Ave, Austin, TX 78704, USA,30.2525664,-97.7711708
100402,1904 Goodrich Ave, Austin, TX 78704, USA,30.2525664,-97.7711708
100403,1904 Goodrich Ave, Austin, TX 78704, USA,30.2525664,-97.7711708
100404,1904 Goodrich Ave, Austin, TX 78704, USA,30.2525664,-97.7711708
100406,1909 Anita Dr, Austin, TX 78704, USA,30.2543937,-97.77170149999999
100407,1907 Anita Dr, Austin, TX 78704, USA,30.2542196,-97.7716166
100408,1905 Anita Dr, Austin, TX 78704, USA,30.25418239999999,-97.77148919999999
100409,1903 Anita Dr, Austin, TX 78704, USA,30.2540556,-97.7713619
100410,1901 Anita Dr, Austin, TX 78704, USA,30.2541603,-97.7711071
100411,1811 Anita Dr, Austin, TX 78704, USA,30.2540782,-97.77097979999999
100412,1809 Anita Dr, Austin, TX 78704, USA,30.2539464,-97.7709373
100413,1807 Anita Dr, Austin, TX 78704, USA,30.25397079999999,-97.77071439999999
100414,1805 Anita Dr, Austin, TX 78704, USA,30.2538322,-97.7705977
100415,1803 Anita Dr, Austin, TX 78704, USA,30.2538423,-97.7704279
100416,1801 Anita Dr, Austin, TX 78704, USA,30.2537603,-97.77030049999999
100418,1810 Ford St, Austin, TX 78704, USA,30.2534235,-97.7714468
100419,1812 Ford St, Austin, TX 78704, USA,30.2535055,-97.77157419999999
